n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
6,7,1110,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 4 North West,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4NWR
6,10,412,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 4B - Acute Medicine: Hospitalist Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S4B
6,9,17,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Saanich Peninsula - Acute Care,Saanich Peninsula Acute Care,SPH - Emergency,Emergency Room,Emergency-General,ER-General,NA,SPHAC,SPH-AC,ER-S
6,9,154,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Saanich Rd Collection Station,Lab-Saanich,Ambulatory,NA,Laboratory,NA,ICS,Saanich,SRD
6,9,23,Med-Surg - Ambulatory Episodic - Mixed Ages,Med-Surg - Ambulatory Episodic - Mixed Ages,99,138,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Med-Surg,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Outpatient Parenteral Antibiotic Therapy Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,OPAT
6,6,10,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Victoria General Hospital,Victoria General Hospital,Medical Imaging Reception-VGH,Medical Imaging,NA,Medical Imaging,NA,VGHAC,VGHA,Med Img-V
6,7,12,MHSU - Rehab,MHSU Rehab Services - High Intensity (tertiary level???),56,19,Ambulatory-Chronic,Ambulatory Chronic Care-High Intensity,MHSU,Rehab-MHSU,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Day Program,Royal Jubilee Eric Martin Pavilion,Day Hospital,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCDP,EMP,DAY
6,8,461,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee - Mental Health,Royal Jubilee - Patient Care Centre,RJH - 1 South West - General Psychiatry/Mood Disorder,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,1SWR
6,9,18,Orthopedic,Orthopedic - Ambulatory Lower Intensity,78,112,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Orthopedic,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,Cast Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGH-AC,CAST-V
6,7,35,Surgical - Procedure,Surgery - Same Day - Mixed Ages,93,146,Surgery,Surgery-Procecure-Same Day,Surgical,Surgery-Day Procedure,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - Surgical Day Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,SDC-V
5,6,25,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Tertiary,Seven Oaks,House 1,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRTER,SOAKS,H1
5,6,136,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - AREA B,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,MAIN,ER-R
5,6,316,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 3 North East - Clinical Teaching Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,3NER
5,5,10,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Withdrawal Management,Recovery Addictions Support,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,DWITH,DEOU
5,6,12,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,Withdrawal Management,Recovery Addictions Support,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,DWITH,DEOU
5,47,94,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",MHSU - Community - Sobering Assessment,Sobering & Assessment Centre,Female Beds,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSA,SOB,FBED
5,7,13,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - ACT,Pandora,Downtown Assertive Community Treatment,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCACT,PARA,DOSM
5,7,10,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Intake,Pandora,ACT Intake - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCIN,PARA,ACTI
5,6,11,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,MHSU - Community - Urgent Episodic,"Gibbins Road, Duncan - MHSU",Crisis Response Team - Duncan,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,GIBBD,CRTD
5,7,420,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-PES Bed-Seclusion,NA,RJHAC,MAIN,EHR
5,6,76,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-PES Treatment Room,NA,RJHAC,MAIN,ER-R
5,8,848,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-General,ER-General,NA,RJHAC,MAIN,EHR
5,6,359,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee - Mental Health,Royal Jubilee - Patient Care Centre,RJH - 2 North East - General Psychiatry/Schizophrenia,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,2NER
5,5,8,Psychology - Adults,Psychology - Adults,87,39,Ambulatory-Episodic,Ambulatory Episodic-High Intensity,MHSU,Ambulatory-Clinical Psychology,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Clinical Psychology-SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,CPSI
5,5,10,Residential Care - MHSU - Lower Support (secondary level),Residential Care - MHSU - Lower Support (secondary level),58,26,Residential Care,Lower Intensity Res Care,MHSU,Res Care-MHSU -- Supported Independent Living,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Supported Appts,Our Place,OUR PLACE,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSA,OURP,OUPL
5,6,11,Surgical - Procedure,Surgery - Misc Ambulatory Services,93,149,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Ambulatory Prep, Procedure",Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Plastic Surgery Urgent Access Teaching Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,PUAC
5,6,30,Surgical - Procedure,Surgery - Same Day - Mixed Ages,93,146,Surgery,Surgery-Procecure-Same Day,Surgical,Surgery-Day Procedure,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Surgical Day Care,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,MAIN,SDC-R
4,4,25,Acute Care - Community-based - Adult (tertiary level),Acute Care - Community-based - Adult (tertiary level),24,10,"ED, Urgent Care, Acute",Tertiary Acute,MHSU,Acute Care-Tertiary,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Tertiary,Cowichan Lodge - Duncan,A Wing-Cowichan,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRTER,COW,AWICO
4,5,212,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 5A - Orthopedics,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S5A
4,7,840,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 4B - Acute Medicine: Hospitalist Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGHA,S4B
4,7,14,Addictions - Post Withdrawal Stabilization (secondary level),Addictions - Post Withdrawal Stabilization (secondary level),10,24,Residential Care,Medium Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Post Detox,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Withdrawal Management,Stabilization Unit,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,DWITH,STAB
4,5,10,Addictions - Post Withdrawal Stabilization (secondary level),Addictions - Post Withdrawal Stabilization (secondary level),10,24,Residential Care,Medium Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Post Detox,Community Facility,"Adults, some adols, older adults",MHSU - Residential - Stabilization / Supportive Recovery,Royal Jubilee Eric Martin Pavilion,EMP 5B - Stabilization Unit-RJH,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRSR,EMP,EM5B
4,4,6,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pandora,Downtown Assertive Community Treatment,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PARA,DOSM
4,4,8,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pandora,Victoria Integrated Community Outreach Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PARA,VICO
4,5,17,Assertive Community Treatment - High Conformance to ACT Model (tertiary level),Assertive Community Treatment - High Conformance to ACT Model (tertiary level),51,13,Community Support,High Intensity Community Tx & Support,MHSU,Assertive Community Treatment (ACT)-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Seven Oaks,Seven Oaks ACT,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,SOAKS,SEVA
4,13,23,Diabetes Education,Diabetes Education - Mixed Ages,26,92,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Diabetes,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Diabetic Education Centre,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,DEC-R
4,6,129,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Cowichan District Hospital,Cowichan District Hospital,CDH - Emergency,Emergency Room,Emergency-General,ER-General,NA,CDH,CDHA,EHCD
4,24,98,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Nanaimo Regional General Hospital,Nanaimo Regional General Hospital,NRG - Emergency,Emergency Room,Emergency-General,ER-General,NA,NRG,NRGA,EDNRGH
4,6,12,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Nanaimo Regional General Hospital - Acute Care,Nanaimo Regional General - Acute Care,NRG - Emergency,Emergency Room,Emergency-General,ER-General,NA,NRG,NRGA,EDNRGH
4,6,808,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,MAIN,EHR
4,64,116,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Cowichan District Hospital Lab,Lab Outpatient-CDH,NA,NA,Unclassified,NA,ICS,CDHL,LACD
4,36,214,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Cowichan Lab Collections,Lab-Cowichan,NA,NA,Unclassified,NA,ICS,COLC,LCOWL
4,5,10,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,PFT Lab,Ambulatory,Ambulatory,Laboratory,NA,RJHAC,MAIN,PFT Lab-R
4,4,8,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,VGHAC,VGH-AC,LAB-V
4,5,10,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,Medical Imaging Reception,Medical Imaging,Medical Imaging,Medical Imaging,NA,VGHAC,VGH-AC,Med Img-V
4,42,84,MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),54,3,Community Support,Medium-Intensity Community Tx & Support,MHSU,Outreach-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,Balmoral Nanaimo - MHAS,Inreach Support,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,BALN,ISBA
4,4,8,MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),54,3,Community Support,Medium-Intensity Community Tx & Support,MHSU,Outreach-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,Balmoral Nanaimo - MHAS,Outreach Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,BALN,OTBA
4,5,423,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee Hospital-Mental Health,Royal Jubilee Patient Care Centre,RJH - 2 North East - General Psychiatry/Schizophrenia,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,2NER
4,5,10,Other high-intensity community treatment teams (tertiary level),Other high-intensity community treatment teams (tertiary level),52,14,Community Support,High Intensity Community Tx & Support,MHSU,Intensive Case Management (MHSU),Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,RJH Main,Intensive Case Management Team - PES,Other,Other,Unclassified,NA,MHSCC,RJHM,ICMTP
4,5,8,Residential Care - MHSU - Rental Supplements,Residential Care - MHSU - Rental Supplements,57,25,Residential Care,Rental Supplement,MHSU,Rental Supplement-MHSU,Community,"Adults, some adols, older adults",MHSU - Residential - Rent Supplements,Royal Jubilee Eric Martin Pavilion,Rent Supplement - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHRRS,EMP,RSSI
4,5,8,"Surgical - Pre, Post",Surgery - Prep - Recovery - Mixed Ages,92,142,Surgery,"Surgical-Care, Support",Surgical,"Surgery-Prep, Recovery",Hospital,Mixed Ages,Victoria General Hospital,Victoria General Hospital,Pre-Admission Clinic-VGH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGHA,PAC-V
3,5,152,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - AREA C,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,MAIN,ER-R
3,3,120,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 8 North East - General Medicine and Lung Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8NER
3,3,114,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Patient Care Centre,RJH - 8 North West - General Medicine and Lung Health,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,8NWR
3,4,534,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Patient Care Centre,RJH - 4 South West - Kidney Care Unit,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,RJHAC,PCC,4SWR
3,3,76,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - North 6D - Acute Medicine,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,N6D
3,6,262,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - South 4A - Acute Medicine: GI & Medical Short Stay,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,VGHAC,VGH-AC,S4A
3,4,8,Cardiovascular,Ambulatory Episodic - Cardiovascular Treatment,22,88,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Cardiovascular,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Deep Vein Thrombosis Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,DVTR
3,3,50,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-PES Bed-Seclusion,NA,RJHAC,MAIN,ER-R
3,3,6,Early Psychosis Intervention (EPI),Early Psychosis Intervention (EPI),48,44,Community Support,Medium-Intensity Community Tx & Support,MHSU,EPI Protocol,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Early Psychosis Intervention - Victoria,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,EPIV
3,3,136,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed-Isolation,NA,RJHAC,MAIN,ER-R
3,4,7,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Saanich Peninsula Hospital,Saanich Peninsula Hospital,SPH - Emergency,Emergency Room,Emergency-General,ER-General,NA,SPHAC,SPH-AC,ER-S
3,3,6,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,St. Joseph's General Hospital - Acute Care,St. Joseph's Hospital - Acute Care,SJH - Emergency,Emergency Room,Emergency-General,ER-General,NA,SJHAC,SJHA,ERSJ
3,3,64,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed-Pediatric,NA,VGHAC,VGH-AC,ER-V
3,3,6,Endoscopy,Endoscopy,31,95,Surgery,Surgery-Day Procedure,Digestive System,Diagnostics,Hospital,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Endoscopy,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,ENDO-R
3,4,8,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Island Diagnostic Centre,IDC Outpatient,Ambulatory,Ambulatory,Laboratory,NA,IDC,IDC,IDC Outpatient
3,4,6,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Chronic Support,Royal Jubilee Eric Martin Pavilion,Partnership Medication Clinic,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCS,EMP,PMC
3,3,6,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Assessment/Transition,1475 Suites,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,1475,SUTE
3,3,5,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",MHSU - Residential - Psycho Social Rehab,Assessment/Transition,1475 Suites,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRPSR,1475,SUTE
3,3,6,MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),MHSU Adult Outreach (for people who are chronically moderately  high risk in the community) (secondary level),54,3,Community Support,Medium-Intensity Community Tx & Support,MHSU,Outreach-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Chronic Support,Balmoral Nanaimo - MHSU,Outreach Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCS,BALN,OTBA
3,3,108,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee Hospital,Royal Jubilee Main,RJH - Emergency,Inpatient-Acute,Inpatient-ER,Inpt-Acute-ER-PES,NA,RJHAC,MAIN,EHR
3,6,8,Morgue,Morgue,66,156,Morgue,Morgue,Morgue,Morgue,Morgue,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Morgue-RJH,NA,NA,Morgue,NA,RJHAC,MAIN,MORGUE-R
3,4,8,Orthopedic,Orthopedic - Ambulatory Lower Intensity,78,112,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Orthopedic,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Cast Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,CAST-R
3,4,8,Orthopedic,Orthopedic - Ambulatory Lower Intensity,78,112,Ambulatory-Episodic,Ambulatory Episodic-Low Intensity,Orthopedic,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Ortho Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,CAST-R
